Generation,FitnessScore,SolvationEnergy,Eisenberg,HelixPropensity
0,8.3363,-1.0000,0.2480,1.1324
1,9.4337,14.0000,0.3213,1.1371
2,10.8385,-12.5000,0.3543,1.0267
3,10.8385,-12.5000,0.3543,1.0267
4,11.5354,-12.5000,0.3000,1.1200
5,13.7674,4.5000,0.4309,1.0343
6,13.7674,4.5000,0.4309,1.0343
7,13.7674,4.5000,0.4309,1.0343
8,14.8068,1.5000,0.3887,1.0733
9,15.0734,-6.0000,0.2926,1.0714
10,15.3491,1.0000,0.2735,1.0476
11,16.4920,-6.0000,0.2478,1.0819
12,16.9563,-1.0000,0.3322,1.0590
13,16.9563,-1.0000,0.3322,1.0590
14,16.9563,-1.0000,0.3322,1.0590
15,17.0229,-2.0000,0.2456,1.0781
16,17.0732,-4.0000,0.2668,1.0581
17,17.1819,1.0000,0.2011,1.0686
18,17.2892,7.0000,0.3445,1.0981
19,17.2892,7.0000,0.3445,1.0981
20,17.2892,7.0000,0.3445,1.0981
21,17.2892,7.0000,0.3445,1.0981
22,17.2892,7.0000,0.3445,1.0981
23,17.2892,7.0000,0.3445,1.0981
24,17.2892,7.0000,0.3445,1.0981
25,17.2892,7.0000,0.3445,1.0981
26,17.2892,7.0000,0.3445,1.0981
27,17.2892,7.0000,0.3445,1.0981
28,17.2892,7.0000,0.3445,1.0981
29,17.2892,7.0000,0.3445,1.0981
30,17.2892,7.0000,0.3445,1.0981
31,17.2892,7.0000,0.3445,1.0981
32,17.2892,7.0000,0.3445,1.0981
33,17.2892,7.0000,0.3445,1.0981
34,17.2892,7.0000,0.3445,1.0981
35,17.2892,7.0000,0.3445,1.0981
36,17.2892,7.0000,0.3445,1.0981
37,17.2892,7.0000,0.3445,1.0981
38,17.2892,7.0000,0.3445,1.0981
39,17.2892,7.0000,0.3445,1.0981
40,17.2892,7.0000,0.3445,1.0981
41,17.2892,7.0000,0.3445,1.0981
42,17.2892,7.0000,0.3445,1.0981
43,17.2892,7.0000,0.3445,1.0981
