Generation,FitnessScore,ChargePenalty
1,-2.7,3.9
2,-2.48035149814459,3.8
3,-2.324879436319941,3.7
4,-2.200396165830023,3.6
5,-2.094827996043178,3.5
6,-2.002237597180179,3.4
7,-1.9192095593158016,3.3
8,-1.843576121853796,3.2
9,-1.7738645760203253,3.1
10,-1.7090230891453284,3.0
11,-1.6482710056625907,2.9
12,-1.5910110122867638,2.8
13,-1.536774617970964,2.7
14,-1.4851867442612554,2.5999999999999996
15,-1.4359418533035266,2.5
16,-1.388787342763369,2.4
17,-1.3435116838859842,2.3
18,-1.2999357511744654,2.2
19,-1.2579063570042135,2.0999999999999996
20,-1.2172913449867555,2.0
21,-1.1779758078539198,1.9
22,-1.1398591313520456,1.7999999999999998
23,-1.1028526547369149,1.6999999999999997
24,-1.0668777982746542,1.5999999999999996
25,-1.0318645491199616,1.5
26,-0.9977502255119735,1.4
27,-0.9644784594811089,1.2999999999999998
28,-0.9319983528344604,1.1999999999999997
29,-0.9002637718197657,1.0999999999999996
30,-0.869232753723109,1.0
31,-0.8388670045266218,0.8999999999999999
32,-0.8091314711881132,0.7999999999999998
33,-0.7799939754893934,0.6999999999999997
34,-0.7514248990070609,0.5999999999999996
35,-0.7233969107849969,0.5
36,-0.695884730874246,0.3999999999999999
37,-0.6688649241580134,0.2999999999999998
38,-0.6423157198747602,0.19999999999999973
39,-0.6162168530487997,0.09999999999999964
40,-0.5905494246792102,0.0
41,-0.5652957780574894,0.0
42,-0.5404393890077892,0.0
43,-0.5159647681903365,0.0
44,-0.4918573738942347,0.0
45,-0.46810353398202764,0.0
46,-0.44469037584477844,0.0
47,-0.421605763390291,0.0
48,-0.39883824022451897,0.0
49,-0.37637697830182226,0.0
50,-0.35421173141742823,0.0
51,-0.33233279299829555,0.0
52,-0.3107309577190591,0.0
53,-0.28939748652989916,0.0
54,-0.2683240747347404,0.0
55,-0.2475028228024403,0.0
56,-0.22692620963179166,0.0
57,-0.20658706802414306,0.0
58,-0.18647856214598857,0.0
59,-0.16659416678872319,0.0
60,-0.14692764825435845,0.0
61,-0.1274730467148819,0.0
62,-0.10822465990946428,0.0
63,-0.08917702805820626,0.0
64,-0.0703249198838618,0.0
65,-0.051663319644202677,0.0
66,-0.03318741508758949,0.0
67,-0.014892586253103524,0.0
68,0.003225604955664707,0.0
69,0.02117142448714171,0.0
70,0.038948975206475556,0.0
71,0.056562205360783935,0.0
72,0.07401491649244285,0.0
73,0.09131077084354411,0.0
74,0.10845329829072936,0.0
75,0.12544590284610946,0.0
76,0.14229186875681954,0.0
77,0.15899436623292562,0.0
78,0.17555645683083743,0.0
79,0.19198109851708978,0.0
80,0.2082711504352539,0.0
81,0.22442937739686286,0.0
82,0.24045845411553302,0.0
83,0.2563609692019022,0.0
84,0.2721394289356107,0.0
85,0.28779626082925525,0.0
86,0.3033338169981046,0.0
87,0.31875437734828393,0.0
88,0.33406015259517696,0.0
89,0.3492532871229006,0.0
90,0.3643358616949204,0.0
91,0.37930989602510445,0.0
92,0.3941773512178579,0.0
93,0.40894013208535007,0.0
94,0.4236000893492715,0.0
95,0.4381590217340512,0.0
96,0.4526186779579433,0.0
97,0.46698075862800525,0.0
98,0.4812469180445187,0.0
99,0.49541876592007483,0.0
100,0.509497869018178,0.0
