Timestamp,Temperature,HydrophobicScore,Contacts,Status
1.6,27.0,129.67,164,SAFE
3.6,26.8,133.61,169,SAFE
5.7,26.9,131.63,166,SAFE
7.7,26.8,133.61,169,SAFE
9.7,26.9,131.63,166,SAFE
11.8,26.9,131.63,166,SAFE
13.8,26.9,131.63,166,SAFE
15.8,26.9,131.63,166,SAFE
17.9,26.8,133.61,169,SAFE
19.9,26.9,131.63,166,SAFE
21.9,26.9,131.63,166,SAFE
23.9,26.8,133.61,169,SAFE
26.0,26.8,133.61,169,SAFE
28.0,26.8,133.61,169,SAFE
30.0,27.0,129.67,164,SAFE
32.1,26.8,133.61,169,SAFE
34.1,26.8,133.61,169,SAFE
36.1,26.8,133.61,169,SAFE
38.2,26.8,133.61,169,SAFE
40.2,26.9,131.63,166,SAFE
42.2,26.8,133.61,169,SAFE
44.3,27.0,129.67,164,SAFE
46.3,26.8,133.61,169,SAFE
48.3,27.0,129.67,164,SAFE
50.4,26.8,133.61,169,SAFE
52.4,26.9,131.63,166,SAFE
54.4,27.0,129.67,164,SAFE
56.5,27.0,129.67,164,SAFE
58.5,27.0,129.67,164,SAFE
60.5,26.8,133.61,169,SAFE
62.6,27.0,129.67,164,SAFE
64.6,27.0,129.67,164,SAFE
66.6,26.9,131.63,166,SAFE
68.6,27.1,127.73,162,SAFE
70.7,27.0,129.67,164,SAFE
72.7,26.9,131.63,166,SAFE
74.7,27.0,129.67,164,SAFE
